Kit ID,Borough,Borough_broad,Zipcode,UHF_code,Neighborhood Name,Date Collected,Year Collected,Date Received,Lead First_Draw (mg/L),Lead 1-2 Minute Flush (mg/L),Lead 5 Minute Flush (mg/L),Copper First Draw (mg/L),Copper 1-2 Minute Flush (mg/L),Copper 5 minute Flush (mg/L)
20269221,Brooklyn,#N/A,12345,#N/A,#N/A,03/29/2020,2020,04/10/2020,0.000,0.000,,0.064,0.068,
14221767,BREEZY POINT,Queens,11697,410,Rockaway,09/26/2014,2014,10/02/2014,0.000,0.000,,0.193,0.081,
17242539,BREEZY POINT,Queens,11697,410,Rockaway,06/06/2017,2017,06/12/2017,0.000,0.000,,0.175,0.029,
17243628,BREEZY POINT,Queens,11697,410,Rockaway,08/03/2017,2017,08/08/2017,0.000,0.000,,0.109,0.022,
19257533,QUEENS,Queens,11697,410,Rockaway,02/13/2019,2019,02/14/2019,0.000,0.000,,0.407,0.191,
19256744,QUEENS,Queens,11697,410,Rockaway,01/11/2019,2019,01/15/2019,0.000,0.000,,0.164,0.014,
19265046,QUEENS,Queens,11694,410,Rockaway,10/23/2019,2019,10/25/2019,0.000,0.043,,0.354,0.049,
17242686,FAR ROCKAWAY,Queens,11694,410,Rockaway,09/17/2018,2018,09/25/2018,0.000,0.005,,0.069,0.279,
18250711,FAR ROCKAWAY,Queens,11694,410,Rockaway,07/09/2018,2018,07/10/2018,0.000,0.003,,0.243,0.252,
19365292,QUEENS,Queens,11694,410,Rockaway,11/03/2019,2019,11/07/2019,0.000,0.002,0.003,0.295,0.020,0.016
14221062,FAR ROCKAWAY,Queens,11694,410,Rockaway,04/09/2014,2014,04/18/2014,0.000,0.000,,0.094,0.041,
14221903,FAR ROCKAWAY,Queens,11694,410,Rockaway,09/21/2014,2014,09/25/2014,0.000,0.000,,0.137,0.089,
15222849,FAR ROCKAWAY,Queens,11694,410,Rockaway,03/31/2015,2015,04/06/2015,0.000,0.000,,0.189,0.147,
15222977,FAR ROCKAWAY,Queens,11694,410,Rockaway,04/11/2015,2015,04/15/2015,0.000,0.000,,0.035,0.056,
15222871,FAR ROCKAWAY,Queens,11694,410,Rockaway,04/14/2015,2015,04/20/2015,0.000,0.000,,0.144,0.123,
15223108,FAR ROCKAWAY,Queens,11694,410,Rockaway,05/11/2015,2015,05/21/2015,0.000,0.000,,0.245,0.023,
15222817,FAR ROCKAWAY,Queens,11694,410,Rockaway,01/09/2016,2016,01/20/2016,0.000,0.000,,0.109,0.016,
16227677,FAR ROCKAWAY,Queens,11694,410,Rockaway,03/22/2016,2016,03/28/2016,0.000,0.000,,0.122,0.013,
16227613,FAR ROCKAWAY,Queens,11694,410,Rockaway,03/24/2016,2016,03/28/2016,0.000,0.000,,0.134,0.060,
16230969,FAR ROCKAWAY,Queens,11694,410,Rockaway,05/03/2016,2016,05/10/2016,0.000,0.000,,0.133,0.053,
16236017,FAR ROCKAWAY,Queens,11694,410,Rockaway,12/09/2016,2016,12/16/2016,0.000,0.000,,0.123,0.044,
17236895,FAR ROCKAWAY,Queens,11694,410,Rockaway,01/19/2017,2017,02/01/2017,0.000,0.000,,0.182,0.122,
17240088,FAR ROCKAWAY,Queens,11694,410,Rockaway,04/01/2017,2017,04/07/2017,0.000,0.000,,0.168,0.065,
17240728,FAR ROCKAWAY,Queens,11694,410,Rockaway,04/23/2017,2017,05/01/2017,0.000,0.000,,0.102,0.062,
17241695,FAR ROCKAWAY,Queens,11694,410,Rockaway,06/01/2017,2017,06/12/2017,0.000,0.000,,0.134,0.031,
16236066,FAR ROCKAWAY,Queens,11694,410,Rockaway,06/10/2017,2017,06/12/2017,0.000,0.000,,0.160,0.022,
17242608,FAR ROCKAWAY,Queens,11694,410,Rockaway,06/13/2017,2017,06/26/2017,0.000,0.000,,0.078,0.013,
17243446,FAR ROCKAWAY,Queens,11694,410,Rockaway,07/23/2017,2017,07/28/2017,0.000,0.000,,0.133,0.036,
18254946,FAR ROCKAWAY,Queens,11694,410,Rockaway,12/01/2018,2018,12/03/2018,0.000,0.000,,0.196,0.041,
18247749,FAR ROCKAWAY,Queens,11694,410,Rockaway,03/18/2018,2018,03/20/2018,0.000,0.000,,0.170,0.015,
18251200,FAR ROCKAWAY,Queens,11694,410,Rockaway,08/27/2018,2018,08/28/2018,0.000,0.000,,0.130,0.026,
