Zipcode,Year_Coll,num_samples,Borough_broad,neighb_code,Neighb_Name,epa_pb_lim,pct_1d_pb_over_epa,max_1d_pb,min_1d_pb,avg_1d_pb,med_1d_pb,range_1d_pb,med_1d_pb_diff_epa,avg_1d_pb_diff_epa,pct_2d_pb_over_epa,max_2d_pb,min_2d_pb,avg_2d_pb,med_2d_pb,range_2d_pb,med_2d_pb_diff_epa,avg_2d_pb_diff_epa
10463,2014,5,Bronx,101,Kingsbridge - Riverdale,0.015,100,6.768,0.048,2.4274,0.054,6.72,0.039,2.4124,40,0.047,0.000,0.0154,0.0,0.047,-0.015,0.00040000000000000105
10463,2015,7,Bronx,101,Kingsbridge - Riverdale,0.015,100,1.395,0.044,0.24542857142857147,0.046,1.351,0.031,0.23042857142857148,14,0.022,0.000,0.003428571428571429,0.0,0.022,-0.015,-0.011571428571428571
10463,2016,47,Bronx,101,Kingsbridge - Riverdale,0.015,100,0.566,0.019,0.05261702127659573,0.028,0.5469999999999999,0.013000000000000001,0.03761702127659573,2,0.016,0.000,0.0008085106382978725,0.0,0.016,-0.015,-0.014191489361702126
10463,2017,21,Bronx,101,Kingsbridge - Riverdale,0.015,52,0.137,0.013,0.03490476190476192,0.016,0.12400000000000001,0.0010000000000000009,0.019904761904761918,0,0.004,0.000,0.0006190476190476191,0.0,0.004,-0.015,-0.01438095238095238
10463,2018,46,Bronx,101,Kingsbridge - Riverdale,0.015,10,0.212,0.010,0.024739130434782607,0.011,0.20199999999999999,-0.004,0.009739130434782608,0,0.008,0.000,0.0004782608695652175,0.0,0.008,-0.015,-0.014521739130434782
10463,2019,35,Bronx,101,Kingsbridge - Riverdale,0.015,2,0.060,0.008,0.009942857142857147,0.008,0.052,-0.006999999999999999,-0.005057142857142852,0,0.001,0.000,2.857142857142857e-05,0.0,0.001,-0.015,-0.014971428571428571
10463,2020,25,Bronx,101,Kingsbridge - Riverdale,0.015,8,0.286,0.007,0.020320000000000005,0.007,0.27899999999999997,-0.008,0.005320000000000005,0,0.010,0.000,0.00043999999999999996,0.0,0.01,-0.015,-0.01456
10471,2014,3,Bronx,101,Kingsbridge - Riverdale,0.015,100,0.052,0.049,0.051,0.052,0.0029999999999999957,0.037,0.036,0,0.000,0.000,0.0,0.0,0.0,-0.015,-0.015
10471,2015,4,Bronx,101,Kingsbridge - Riverdale,0.015,100,0.048,0.039,0.044000000000000004,0.0445,0.009000000000000001,0.0295,0.029000000000000005,0,0.000,0.000,0.0,0.0,0.0,-0.015,-0.015
10471,2016,12,Bronx,101,Kingsbridge - Riverdale,0.015,100,0.067,0.020,0.03291666666666668,0.029,0.047,0.014000000000000002,0.017916666666666678,0,0.001,0.000,0.00016666666666666666,0.0,0.001,-0.015,-0.014833333333333332
10471,2017,12,Bronx,101,Kingsbridge - Riverdale,0.015,58,0.327,0.013,0.04141666666666668,0.016,0.314,0.0010000000000000009,0.02641666666666668,0,0.010,0.000,0.0008333333333333334,0.0,0.01,-0.015,-0.014166666666666666
10471,2018,20,Bronx,101,Kingsbridge - Riverdale,0.015,10,2.826,0.010,0.17054999999999995,0.011,2.8160000000000003,-0.004,0.15554999999999997,5,0.028,0.000,0.00205,0.0,0.028,-0.015,-0.01295
10471,2019,13,Bronx,101,Kingsbridge - Riverdale,0.015,7,0.061,0.008,0.01269230769230769,0.009,0.053,-0.006,-0.002307692307692309,0,0.001,0.000,7.692307692307693e-05,0.0,0.001,-0.015,-0.014923076923076923
10471,2020,5,Bronx,101,Kingsbridge - Riverdale,0.015,20,0.074,0.007,0.020400000000000005,0.007,0.06699999999999999,-0.008,0.0054000000000000055,0,0.002,0.000,0.0004,0.0,0.002,-0.015,-0.0146
10466,2014,2,Bronx,102,Northeast Bronx,0.015,100,0.052,0.049,0.0505,0.0505,0.0029999999999999957,0.035500000000000004,0.035500000000000004,0,0.000,0.000,0.0,0.0,0.0,-0.015,-0.015
10466,2015,5,Bronx,102,Northeast Bronx,0.015,100,6.182,0.039,1.3292,0.044,6.143000000000001,0.028999999999999998,1.3142,20,0.045,0.000,0.011,0.0,0.045,-0.015,-0.004
10466,2016,19,Bronx,102,Northeast Bronx,0.015,100,0.254,0.019,0.03889473684210529,0.028,0.23500000000000001,0.013000000000000001,0.023894736842105288,0,0.009,0.000,0.00047368421052631577,0.0,0.009,-0.015,-0.014526315789473684
10466,2017,6,Bronx,102,Northeast Bronx,0.015,33,0.018,0.013,0.014833333333333332,0.013999999999999999,0.004999999999999999,-0.0010000000000000009,-0.0001666666666666674,0,0.000,0.000,0.0,0.0,0.0,-0.015,-0.015
10466,2018,10,Bronx,102,Northeast Bronx,0.015,40,0.742,0.010,0.1353,0.0125,0.732,-0.0024999999999999988,0.1203,10,0.018,0.000,0.0034000000000000002,0.0,0.018,-0.015,-0.0116
10466,2019,6,Bronx,102,Northeast Bronx,0.015,33,0.496,0.009,0.13749999999999998,0.009,0.487,-0.006,0.12249999999999998,0,0.015,0.000,0.004166666666666667,0.0,0.015,-0.015,-0.010833333333333334
10466,2020,12,Bronx,102,Northeast Bronx,0.015,25,0.074,0.007,0.022250000000000002,0.007,0.06699999999999999,-0.008,0.007250000000000003,0,0.002,0.000,0.0004166666666666667,0.0,0.002,-0.015,-0.014583333333333334
10469,2014,6,Bronx,102,Northeast Bronx,0.015,100,9.655,0.049,1.9953333333333332,0.10049999999999999,9.606,0.08549999999999999,1.9803333333333333,33,0.054,0.000,0.0135,0.002,0.054,-0.013,-0.0014999999999999996
10469,2015,5,Bronx,102,Northeast Bronx,0.015,100,0.048,0.039,0.04340000000000001,0.044,0.009000000000000001,0.028999999999999998,0.02840000000000001,0,0.000,0.000,0.0,0.0,0.0,-0.015,-0.015
10469,2016,9,Bronx,102,Northeast Bronx,0.015,100,0.111,0.019,0.037777777777777785,0.021,0.092,0.006000000000000002,0.022777777777777786,0,0.003,0.000,0.00044444444444444447,0.0,0.003,-0.015,-0.014555555555555554
10469,2017,5,Bronx,102,Northeast Bronx,0.015,40,0.018,0.014,0.0154,0.015,0.003999999999999998,0.0,0.00040000000000000105,0,0.000,0.000,0.0,0.0,0.0,-0.015,-0.015
10469,2018,9,Bronx,102,Northeast Bronx,0.015,0,0.013,0.010,0.010999999999999998,0.011,0.002999999999999999,-0.004,-0.004000000000000002,0,0.000,0.000,0.0,0.0,0.0,-0.015,-0.015
10469,2019,6,Bronx,102,Northeast Bronx,0.015,0,0.009,0.008,0.008333333333333333,0.008,0.0009999999999999992,-0.006999999999999999,-0.006666666666666666,0,0.000,0.000,0.0,0.0,0.0,-0.015,-0.015
10469,2020,10,Bronx,102,Northeast Bronx,0.015,20,0.378,0.007,0.0536,0.007,0.371,-0.008,0.0386,0,0.013,0.000,0.0016,0.0,0.013,-0.015,-0.013399999999999999
10470,2014,1,Bronx,102,Northeast Bronx,0.015,100,0.052,0.052,0.052,0.052,0.0,0.037,0.037,0,0.000,0.000,0.0,0.0,0.0,-0.015,-0.015
10470,2015,8,Bronx,102,Northeast Bronx,0.015,100,0.608,0.039,0.215875,0.07150000000000001,0.569,0.05650000000000001,0.20087500000000003,25,0.016,0.000,0.0053750000000000004,0.001,0.016,-0.013999999999999999,-0.009624999999999998
10470,2016,7,Bronx,102,Northeast Bronx,0.015,100,0.333,0.025,0.12528571428571428,0.096,0.308,0.081,0.11028571428571428,0,0.010,0.000,0.003142857142857144,0.002,0.01,-0.013,-0.011857142857142856
10470,2017,9,Bronx,102,Northeast Bronx,0.015,66,0.137,0.013,0.04522222222222223,0.019,0.12400000000000001,0.004,0.030222222222222234,0,0.004,0.000,0.0007777777777777778,0.0,0.004,-0.015,-0.014222222222222221
10470,2018,5,Bronx,102,Northeast Bronx,0.015,0,0.012,0.011,0.011399999999999999,0.011,0.0010000000000000009,-0.004,-0.0036000000000000008,0,0.000,0.000,0.0,0.0,0.0,-0.015,-0.015
10470,2019,5,Bronx,102,Northeast Bronx,0.015,0,0.009,0.008,0.0086,0.009,0.0009999999999999992,-0.006,-0.0063999999999999994,0,0.000,0.000,0.0,0.0,0.0,-0.015,-0.015
10470,2020,4,Bronx,102,Northeast Bronx,0.015,50,0.075,0.007,0.036500000000000005,0.032,0.06799999999999999,0.017,0.021500000000000005,0,0.002,0.000,0.00075,0.0005,0.002,-0.014499999999999999,-0.014249999999999999
10475,2014,1,Bronx,102,Northeast Bronx,0.015,100,0.053,0.053,0.053,0.053,0.0,0.038,0.038,0,0.000,0.000,0.0,0.0,0.0,-0.015,-0.015
10475,2015,1,Bronx,102,Northeast Bronx,0.015,100,0.041,0.041,0.041,0.041,0.0,0.026000000000000002,0.026000000000000002,0,0.000,0.000,0.0,0.0,0.0,-0.015,-0.015
10475,2016,38,Bronx,102,Northeast Bronx,0.015,100,0.140,0.019,0.030421052631578956,0.0245,0.12100000000000001,0.009500000000000001,0.015421052631578957,0,0.004,0.000,0.00018421052631578948,0.0,0.004,-0.015,-0.01481578947368421
10475,2017,8,Bronx,102,Northeast Bronx,0.015,37,0.017,0.013,0.01525,0.015,0.004000000000000002,0.0,0.0002500000000000002,0,0.000,0.000,0.0,0.0,0.0,-0.015,-0.015
