Year_Coll,num_samples,Borough_broad,neighb_code,Neighb_Name,epa_pb_lim,pct_1d_pb_over_epa,max_1d_pb,min_1d_pb,avg_1d_pb,med_1d_pb,range_1d_pb,med_1d_pb_diff_epa,avg_1d_pb_diff_epa,pct_2d_pb_over_epa,max_2d_pb,min_2d_pb,avg_2d_pb,med_2d_pb,range_2d_pb,med_2d_pb_diff_epa,avg_2d_pb_diff_epa
2014,9,Queens,404,Bayside - Little Neck,0.015,0,0.000,0.000,0.0,0.0,0.0,-0.015,-0.015,0,0.013,,0.002777777777777778,0.0,0.013,-0.015,-0.012222222222222221
2015,8,Queens,404,Bayside - Little Neck,0.015,0,0.000,0.000,0.0,0.0,0.0,-0.015,-0.015,25,0.025,0.000,0.009000000000000001,0.0035,0.025,-0.0115,-0.005999999999999998
2016,19,Queens,404,Bayside - Little Neck,0.015,0,0.000,0.000,0.0,0.0,0.0,-0.015,-0.015,0,0.010,0.000,0.0006842105263157895,0.0,0.01,-0.015,-0.01431578947368421
2017,12,Queens,404,Bayside - Little Neck,0.015,0,0.000,0.000,0.0,0.0,0.0,-0.015,-0.015,0,0.006,0.000,0.0009166666666666668,0.0,0.006,-0.015,-0.014083333333333333
2018,7,Queens,404,Bayside - Little Neck,0.015,0,0.000,0.000,0.0,0.0,0.0,-0.015,-0.015,0,0.003,0.000,0.0005714285714285715,0.0,0.003,-0.015,-0.014428571428571428
2019,8,Queens,404,Bayside - Little Neck,0.015,0,0.000,0.000,0.0,0.0,0.0,-0.015,-0.015,0,0.008,0.000,0.001375,0.0,0.008,-0.015,-0.013625
2020,11,Queens,404,Bayside - Little Neck,0.015,0,0.000,0.000,0.0,0.0,0.0,-0.015,-0.015,0,0.010,0.000,0.0033636363636363642,0.003,0.01,-0.012,-0.011636363636363636
2014,16,Queens,404/406,Bayside - Little Neck - Fresh Medows,0.015,0,0.000,0.000,0.0,0.0,0.0,-0.015,-0.015,6,0.027,,0.0016875,0.0,0.027,-0.015,-0.0133125
2015,14,Queens,404/406,Bayside - Little Neck - Fresh Medows,0.015,0,0.000,0.000,0.0,0.0,0.0,-0.015,-0.015,0,0.003,0.000,0.00035714285714285714,0.0,0.003,-0.015,-0.014642857142857141
2016,88,Queens,404/406,Bayside - Little Neck - Fresh Medows,0.015,0,0.000,0.000,0.0,0.0,0.0,-0.015,-0.015,2,0.021,0.000,0.0007386363636363638,0.0,0.021,-0.015,-0.014261363636363636
2017,60,Queens,404/406,Bayside - Little Neck - Fresh Medows,0.015,0,0.000,0.000,0.0,0.0,0.0,-0.015,-0.015,1,0.017,0.000,0.0005666666666666667,0.0,0.017,-0.015,-0.014433333333333333
2018,45,Queens,404/406,Bayside - Little Neck - Fresh Medows,0.015,0,0.000,0.000,0.0,0.0,0.0,-0.015,-0.015,0,0.007,0.000,0.0003777777777777778,0.0,0.007,-0.015,-0.014622222222222222
2019,58,Queens,404/406,Bayside - Little Neck - Fresh Medows,0.015,0,0.000,0.000,0.0,0.0,0.0,-0.015,-0.015,0,0.002,0.000,8.620689655172414e-05,0.0,0.002,-0.015,-0.014913793103448276
2020,53,Queens,404/406,Bayside - Little Neck - Fresh Medows,0.015,0,0.000,0.000,0.0,0.0,0.0,-0.015,-0.015,0,0.001,0.000,9.433962264150943e-05,0.0,0.001,-0.015,-0.01490566037735849
2014,50,Brooklyn,203,Bedford Stuyvesant - Crown Heights,0.015,0,0.007,0.003,0.003320000000000002,0.003,0.004,-0.012,-0.011679999999999998,6,0.037,0.000,0.00202,0.0,0.037,-0.015,-0.012979999999999998
2015,60,Brooklyn,203,Bedford Stuyvesant - Crown Heights,0.015,0,0.006,0.002,0.0032000000000000023,0.003,0.004,-0.012,-0.011799999999999998,8,0.032,0.000,0.003433333333333334,0.0,0.032,-0.015,-0.011566666666666666
2016,291,Brooklyn,203,Bedford Stuyvesant - Crown Heights,0.015,0,0.007,0.001,0.0025120274914089366,0.002,0.006,-0.013,-0.012487972508591063,1,0.037,0.000,0.001333333333333334,0.0,0.037,-0.015,-0.013666666666666666
2017,209,Brooklyn,203,Bedford Stuyvesant - Crown Heights,0.015,0,0.007,0.001,0.001732057416267944,0.001,0.006,-0.013999999999999999,-0.013267942583732055,2,0.049,0.000,0.001588516746411484,0.0,0.049,-0.015,-0.013411483253588515
