Year_Coll,num_samples,Borough_broad,neighb_code,Neighb_Name,epa_pb_lim,pct_1d_pb_over_epa,num_1d_pb_over_epa,max_1d_pb,min_1d_pb,avg_1d_pb,med_1d_pb,range_1d_pb,med_1d_pb_diff_epa,avg_1d_pb_diff_epa,pct_2d_pb_over_epa,max_2d_pb,min_2d_pb,avg_2d_pb,med_2d_pb,range_2d_pb,med_2d_pb_diff_epa,avg_2d_pb_diff_epa
2018,35,Queens,404,Bayside - Little Neck,0.015,0,0,0.000,0.000,0.0,0.0,0.0,-0.015,-0.015,0,0.007,0.000,0.0006000000000000002,0.0,0.007,-0.015,-0.0144
2018,263,Brooklyn,203,Bedford Stuyvesant - Crown Heights,0.015,0,0,0.007,0.000,0.0014828897338403052,0.001,0.007,-0.013999999999999999,-0.013517110266159694,2,0.067,0.000,0.001539923954372624,0.0,0.067,-0.015,-0.013460076045627375
2018,85,Brooklyn,209,Bensonhurst - Bay Ridge,0.015,0,0,0.007,0.000,0.001988235294117648,0.001,0.007,-0.013999999999999999,-0.013011764705882351,9,0.077,0.000,0.0046588235294117665,0.0,0.077,-0.015,-0.010341176470588232
2018,142,Brooklyn,206,Borough Park,0.015,0,0,0.006,0.000,0.0010704225352112682,0.001,0.006,-0.013999999999999999,-0.01392957746478873,1,0.018,0.000,0.00073943661971831,0.0,0.018,-0.015,-0.01426056338028169
2018,37,Brooklyn,208,Canarsie - Flatlands,0.015,0,0,0.007,0.000,0.002351351351351352,0.001,0.007,-0.013999999999999999,-0.012648648648648647,18,0.093,0.000,0.010135135135135136,0.0,0.093,-0.015,-0.004864864864864864
2018,117,Manhattan,302,Central Harlem - Morningside Heights,0.015,0,0,0.000,0.000,0.0,0.0,0.0,-0.015,-0.015,0,0.007,0.000,0.0003504273504273505,0.0,0.007,-0.015,-0.014649572649572649
2018,110,Manhattan,306,Chelsea - Clinton,0.015,0,0,0.000,0.000,0.0,0.0,0.0,-0.015,-0.015,0,0.012,0.000,0.00040000000000000013,0.0,0.012,-0.015,-0.0146
2018,69,Brooklyn,210,Coney Island - Sheepshead Bay,0.015,0,0,0.007,0.000,0.0015797101449275368,0.001,0.007,-0.013999999999999999,-0.013420289855072463,1,0.056,0.000,0.0018840579710144932,0.0,0.056,-0.015,-0.013115942028985507
2018,15,Bronx,105,Crotona - Tremont,0.015,6,1,0.063,0.010,0.014866666666666669,0.011,0.053,-0.004,-0.0001333333333333308,0,0.001,0.000,6.666666666666667e-05,0.0,0.001,-0.015,-0.014933333333333333
2018,417,Brooklyn,202,Downtown - Heights - Park Slope,0.015,0,0,0.007,0.000,0.0012062350119904084,0.001,0.007,-0.013999999999999999,-0.01379376498800959,0,0.637,0.000,0.0023381294964028784,0.0,0.637,-0.015,-0.012661870503597121
