Year_Coll,num_samples,Borough_broad,neighb_code,Neighb_Name,epa_pb_lim,pct_1d_pb_over_epa,num_1d_pb_over_epa,max_1d_pb,min_1d_pb,avg_1d_pb,med_1d_pb,range_1d_pb,med_1d_pb_diff_epa,avg_1d_pb_diff_epa,pct_2d_pb_over_epa,max_2d_pb,min_2d_pb,avg_2d_pb,med_2d_pb,range_2d_pb,med_2d_pb_diff_epa,avg_2d_pb_diff_epa
2014,18,Queens,404,Bayside - Little Neck,0.015,0,0,0.000,0.000,0.0,0.0,0.0,-0.015,-0.015,5,0.027,,0.002888888888888889,0.0,0.027,-0.015,-0.01211111111111111
2015,14,Queens,404,Bayside - Little Neck,0.015,0,0,0.000,0.000,0.0,0.0,0.0,-0.015,-0.015,14,0.025,0.000,0.0055000000000000005,0.0015,0.025,-0.0135,-0.009499999999999998
2016,53,Queens,404,Bayside - Little Neck,0.015,0,0,0.000,0.000,0.0,0.0,0.0,-0.015,-0.015,1,0.020,0.000,0.0008679245283018868,0.0,0.02,-0.015,-0.014132075471698112
2017,41,Queens,404,Bayside - Little Neck,0.015,0,0,0.000,0.000,0.0,0.0,0.0,-0.015,-0.015,0,0.008,0.000,0.0005365853658536587,0.0,0.008,-0.015,-0.01446341463414634
2018,35,Queens,404,Bayside - Little Neck,0.015,0,0,0.000,0.000,0.0,0.0,0.0,-0.015,-0.015,0,0.007,0.000,0.0006000000000000002,0.0,0.007,-0.015,-0.0144
2019,27,Queens,404,Bayside - Little Neck,0.015,0,0,0.000,0.000,0.0,0.0,0.0,-0.015,-0.015,0,0.008,0.000,0.0005185185185185185,0.0,0.008,-0.015,-0.01448148148148148
2020,32,Queens,404,Bayside - Little Neck,0.015,0,0,0.000,0.000,0.0,0.0,0.0,-0.015,-0.015,0,0.010,0.000,0.0012187500000000002,0.0,0.01,-0.015,-0.013781249999999998
2014,50,Brooklyn,203,Bedford Stuyvesant - Crown Heights,0.015,0,0,0.007,0.003,0.003320000000000002,0.003,0.004,-0.012,-0.011679999999999998,6,0.037,0.000,0.00202,0.0,0.037,-0.015,-0.012979999999999998
2015,60,Brooklyn,203,Bedford Stuyvesant - Crown Heights,0.015,0,0,0.006,0.002,0.0032000000000000023,0.003,0.004,-0.012,-0.011799999999999998,8,0.032,0.000,0.003433333333333334,0.0,0.032,-0.015,-0.011566666666666666
2016,291,Brooklyn,203,Bedford Stuyvesant - Crown Heights,0.015,0,0,0.007,0.001,0.0025120274914089366,0.002,0.006,-0.013,-0.012487972508591063,1,0.037,0.000,0.001333333333333334,0.0,0.037,-0.015,-0.013666666666666666
2017,209,Brooklyn,203,Bedford Stuyvesant - Crown Heights,0.015,0,0,0.007,0.001,0.001732057416267944,0.001,0.006,-0.013999999999999999,-0.013267942583732055,2,0.049,0.000,0.001588516746411484,0.0,0.049,-0.015,-0.013411483253588515
2018,263,Brooklyn,203,Bedford Stuyvesant - Crown Heights,0.015,0,0,0.007,0.000,0.0014828897338403052,0.001,0.007,-0.013999999999999999,-0.013517110266159694,2,0.067,0.000,0.001539923954372624,0.0,0.067,-0.015,-0.013460076045627375
2019,255,Brooklyn,203,Bedford Stuyvesant - Crown Heights,0.015,0,0,0.007,0.000,0.0010078431372549023,0.0,0.007,-0.015,-0.013992156862745096,3,0.042,0.000,0.0015607843137254906,0.0,0.042,-0.015,-0.013439215686274509
2020,182,Brooklyn,203,Bedford Stuyvesant - Crown Heights,0.015,0,0,0.006,0.000,0.0008406593406593411,0.0,0.006,-0.015,-0.014159340659340658,2,0.036,0.000,0.001307692307692308,0.0,0.036,-0.015,-0.013692307692307691
2014,21,Brooklyn,209,Bensonhurst - Bay Ridge,0.015,0,0,0.006,0.003,0.003523809523809524,0.003,0.003,-0.012,-0.011476190476190475,9,0.033,0.000,0.0031904761904761906,0.0,0.033,-0.015,-0.011809523809523808
2015,38,Brooklyn,209,Bensonhurst - Bay Ridge,0.015,0,0,0.007,0.002,0.0031842105263157915,0.003,0.005,-0.012,-0.011815789473684208,7,0.057,0.000,0.0044736842105263155,0.0,0.057,-0.015,-0.010526315789473684
2016,115,Brooklyn,209,Bensonhurst - Bay Ridge,0.015,0,0,0.006,0.001,0.0026695652173913064,0.002,0.005,-0.013,-0.012330434782608693,6,0.030,0.000,0.0023217391304347834,0.0,0.03,-0.015,-0.012678260869565215
2017,152,Brooklyn,209,Bensonhurst - Bay Ridge,0.015,0,0,0.007,0.001,0.00199342105263158,0.001,0.006,-0.013999999999999999,-0.01300657894736842,6,0.150,0.000,0.0035065789473684218,0.0,0.15,-0.015,-0.011493421052631578
2018,85,Brooklyn,209,Bensonhurst - Bay Ridge,0.015,0,0,0.007,0.000,0.001988235294117648,0.001,0.007,-0.013999999999999999,-0.013011764705882351,9,0.077,0.000,0.0046588235294117665,0.0,0.077,-0.015,-0.010341176470588232
2019,107,Brooklyn,209,Bensonhurst - Bay Ridge,0.015,0,0,0.006,0.000,0.0007757009345794394,0.0,0.006,-0.015,-0.01422429906542056,0,0.014,0.000,0.0008130841121495328,0.0,0.014,-0.015,-0.014186915887850466
