Kit ID,Borough,Borough_broad,Zipcode,Date Collected,Year Collected,Date Received,Lead First_Draw (mg/L),Lead 1-2 Minute Flush (mg/L),Lead 5 Minute Flush (mg/L),Copper First Draw (mg/L),Copper 1-2 Minute Flush (mg/L),Copper 5 minute Flush (mg/L)
19265193,QUEENS,Queens,11102,11/01/2019,2019,11/07/2019,1.064,2.42,,0.047,0.033,
19264644,Queens,Queens,11433,03/08/2020,2020,03/10/2020,2.766,1.721,,0.569,0.249,
16228238,BROOKLYN,Brooklyn,11221,10/25/2017,2017,10/31/2017,5.219,1.519,,2.579,0.21,
16236324,COLLEGE POINT,Queens,11356,11/03/2017,2017,11/06/2017,0.119,0.883,,0.175,0.048,
18250693,MIDDLE VILLAGE,Queens,11379,07/07/2018,2018,07/17/2018,15.483,0.69,,1.253,0.287,
18255720,BROOKLYN,Brooklyn,11222,12/12/2018,2018,12/14/2018,0.003,0.661,,0.297,0.269,
18252330,BROOKLYN,Brooklyn,11215,09/29/2018,2018,10/02/2018,0.004,0.637,,0.322,0.18,
16231370,REGO PARK,Queens,11374,06/03/2016,2016,06/10/2016,0.186,0.573,,0.121,0.049,
18256288,BRONX,Bronx,10458,01/04/2019,2019,01/09/2019,0.005,0.463,,0.183,0.092,
16231547,BROOKLYN,Brooklyn,11205,05/19/2016,2016,05/23/2016,6.768,0.389,,2.098,0.117,
17338929,BROOKLYN,Brooklyn,11215,02/17/2017,2017,02/21/2017,0.014,0.281,0.004,0.252,0.046,0.027
16234099,NEW YORK,Manhattan,10002,08/19/2016,2016,08/23/2016,0.023,0.279,,0.088,1.755,
14221745,BROOKLYN,Brooklyn,11225,09/08/2014,2014,09/10/2014,0.006,0.173,,0.269,0.183,
16227392,STATEN ISLAND,Staten Island,10306,03/18/2016,2016,03/19/2016,0.675,0.158,,7.734,0.723,
16234505,BROOKLYN,Brooklyn,11235,08/26/2016,2016,08/29/2016,0.006,0.15,,0.131,0.016,
17344976,BROOKLYN,Brooklyn,11228,10/23/2017,2017,10/25/2017,0.004,0.15,0.004,0.138,0.042,0.015
16236601,COLLEGE POINT,Queens,11356,12/20/2016,2016,12/23/2016,0.003,0.149,,0.163,0.123,
16329220,STATEN ISLAND,Staten Island,10310,04/19/2016,2016,04/26/2016,0.008,0.131,0.002,0.123,0.082,0.012
16236240,BROOKLYN,Brooklyn,11207,01/03/2017,2017,01/09/2017,0.069,0.098,,0.626,0.34,
18246552,BROOKLYN,Brooklyn,11234,06/16/2018,2018,06/20/2018,0.021,0.093,,0.211,0.037,
17240529,NEW YORK,Manhattan,10025,05/18/2017,2017,05/24/2017,0.131,0.093,,0.204,0.111,
14220717,BROOKLYN,Brooklyn,11249,06/26/2014,2014,07/01/2014,0.007,0.088,,0.052,0.017,
17238115,BRONX,Bronx,10467,03/20/2017,2017,03/28/2017,0.026,0.086,,0.577,1.161,
20270847,Manhattan,Brooklyn,11234,08/12/2020,2020,08/21/2020,0.049,0.082,,0.264,0.203,
19363323,BROOKLYN,Brooklyn,11203,09/12/2019,2019,09/13/2019,0.034,0.08,0,0.158,0.072,0.009
18255435,WHITESTONE,Queens,11357,11/22/2018,2018,11/27/2018,0.259,0.079,,1.223,0.327,
18350681,BROOKLYN,Brooklyn,11234,07/08/2018,2018,07/10/2018,0.02,0.078,0.021,0.217,0.042,0.028
16235339,STATEN ISLAND,Staten Island,10310,10/03/2016,2016,10/07/2016,0.014,0.078,,0.143,0.016,
18249210,BROOKLYN,Brooklyn,11209,06/13/2018,2018,06/15/2018,0.013,0.077,,0.176,0.022,
14221769,NEW YORK,Manhattan,10036,09/15/2014,2014,09/23/2014,0.608,0.076,,1.015,0.117,
16230559,NEW YORK,Manhattan,10025,04/21/2016,2016,04/29/2016,0.484,0.075,,1.475,0.257,
14222367,NEW YORK,Manhattan,10012,01/05/2015,2015,01/07/2015,0.034,0.074,,0.104,0.065,
18253686,STATEN ISLAND,Staten Island,10306,10/05/2018,2018,10/09/2018,5.508,0.069,,0.118,0.016,
18251898,BROOKLYN,Brooklyn,11238,09/08/2018,2018,09/11/2018,0.058,0.067,,0.099,0.026,
18354349,BROOKLYN,Brooklyn,11215,10/20/2018,2018,10/22/2018,0.006,0.067,0.012,0.371,0.114,0.036
17240993,NEW YORK,Manhattan,10011,06/06/2017,2017,06/09/2017,0.073,0.067,,0.333,0.013,
14221227,FOREST HILLS,Queens,11375,05/20/2014,2014,05/23/2014,0.007,0.066,,0.212,0.033,
15223100,FAR ROCKAWAY,Queens,11693,05/28/2015,2015,06/01/2015,0.004,0.065,,0.127,0.098,
19260638,BROOKLYN,Brooklyn,11203,07/08/2019,2019,07/09/2019,0.013,0.064,,0.122,0.027,
20271317,Brooklyn,Manhattan,10023,08/05/2020,2020,08/14/2020,0.076,0.061,,1.184,1.052,
20268958,Queens,Queens,11103,03/04/2020,2020,03/05/2020,1.395,0.061,,0.543,0.051,
17243372,ROSEDALE,Queens,11422,08/19/2017,2017,08/24/2017,0,0.061,,0.078,0.907,
16236159,BROOKLYN,Brooklyn,11229,11/23/2016,2016,11/28/2016,0.006,0.059,,0.284,1.232,
20276112,Queens,Queens,11426,12/11/2020,2020,12/21/2020,0.032,0.059,,0.125,0.11,
15300368,BROOKLYN,Brooklyn,11228,08/25/2015,2015,08/27/2015,0.191,0.057,0.04,0.196,0.03,0.048
16225970,STATEN ISLAND,Staten Island,10306,01/12/2017,2017,01/20/2017,0.011,0.057,,0.338,0.056,
18354802,BROOKLYN,Brooklyn,11209,10/31/2018,2018,11/02/2018,0.01,0.056,0.002,0.266,0.039,0.021
18355859,BROOKLYN,Brooklyn,11223,12/20/2018,2018,12/24/2018,0.073,0.056,0.01,0.499,0.057,0.046
14221146,BRONX,Bronx,10469,04/30/2014,2014,05/02/2014,0.006,0.054,,0.154,0.02,
18355621,BROOKLYN,Brooklyn,11234,12/19/2018,2018,12/26/2018,0.007,0.053,0.002,0.237,0.034,0.018
20269138,Queens,Queens,11412,03/12/2020,2020,03/13/2020,0.024,0.053,,0.164,0.049,
14221015,BROOKLYN,Brooklyn,11231,03/30/2014,2014,04/07/2014,3.641,0.052,,2.114,0.165,
17245486,JAMAICA,Queens,11435,11/17/2017,2017,11/20/2017,0.014,0.052,,0.374,0.499,
19362093,BROOKLYN,Brooklyn,11218,07/22/2019,2019,07/23/2019,0.173,0.051,0.019,0.214,0.032,0.029
20371856,Manhattan,Brooklyn,11234,08/13/2020,2020,08/21/2020,0.017,0.051,0.006,0.16,0.021,0.019
17245087,BROOKLYN,Brooklyn,11216,11/01/2017,2017,11/02/2017,0.106,0.049,,0.386,0.088,
18253017,BROOKLYN,Brooklyn,11234,11/08/2018,2018,11/19/2018,0.011,0.049,,0.174,0.035,
17243876,BELLEROSE,Queens,11426,08/16/2017,2017,08/22/2017,0.006,0.048,,0.235,0.051,
15224261,BROOKLYN,Brooklyn,11209,11/14/2015,2015,11/20/2015,0.008,0.048,,0.109,0.024,
16229561,BROOKLYN,Brooklyn,11222,12/11/2018,2018,12/17/2018,0.007,0.048,,0.152,0.075,
18248426,JACKSON HEIGHTS,Queens,11372,04/16/2018,2018,04/17/2018,0.011,0.048,,0.13,0.03,
15222527,NEW YORK,Manhattan,10013,02/16/2015,2015,02/20/2015,0.566,0.048,,0.415,0.055,
14221614,BRONX,Bronx,10463,07/31/2014,2014,08/06/2014,0.017,0.047,,0.128,0.034,
16329223,FOREST HILLS,Queens,11375,05/01/2016,2016,05/06/2016,0.012,0.047,0.013,0.269,0.086,0.046
14221244,NEW YORK,Manhattan,10025,07/30/2014,2014,08/11/2014,2.015,0.047,,0.34,0.042,
14300313,BROOKLYN,Brooklyn,11223,06/02/2014,2014,07/09/2014,0.013,0.046,0.005,0.135,0.031,0.014
15223287,BROOKLYN,Brooklyn,11229,06/13/2015,2015,06/18/2015,0.02,0.046,,0.261,0.05,
17343744,NEW YORK,Manhattan,10003,08/11/2018,2018,08/16/2018,15.082,0.046,0.022,0.539,0.019,0.011
15223551,BRONX,Bronx,10466,07/12/2015,2015,07/21/2015,0.033,0.045,,0.055,0.023,
13220498,FOREST HILLS,Queens,11375,01/15/2014,2014,01/21/2014,0.021,0.044,,0.206,0.022,
14221486,BROOKLYN,Brooklyn,11230,09/23/2014,2014,09/30/2014,0.012,0.043,,0.126,0.031,
16329217,BROOKLYN,Brooklyn,11234,05/11/2016,2016,05/17/2016,0.006,0.043,0.003,0.134,0.017,0.01
17240337,BROOKLYN,Brooklyn,11238,05/04/2017,2017,05/11/2017,0.125,0.043,,0.283,0.038,
16329232,NEW YORK,Manhattan,10025,05/23/2016,2016,05/25/2016,0.094,0.043,0.03,0.154,0.123,0.118
19265046,QUEENS,Queens,11694,10/23/2019,2019,10/25/2019,0.003,0.043,,0.354,0.049,
18256320,BROOKLYN,Brooklyn,11216,01/01/2019,2019,01/04/2019,0.349,0.042,,0.327,0.272,
18354251,FOREST HILLS,Queens,11375,10/20/2018,2018,10/23/2018,0.008,0.042,0.002,0.257,0.024,0.013
19266833,Manhattan,Brooklyn,11204,01/08/2020,2020,02/07/2020,0.001,0.042,,0.286,0.022,
19264615,QUEENS,Queens,11423,11/17/2019,2019,11/21/2019,0.016,0.042,,0.106,0.027,
16329272,ASTORIA,Queens,11105,09/28/2016,2016,10/03/2016,0.007,0.041,0.002,0.293,0.034,0.021
19265333,BRONX,Bronx,10461,11/16/2019,2019,11/19/2019,0.006,0.041,,0.208,0.058,
14221143,BROOKLYN,Brooklyn,11223,04/27/2014,2014,05/01/2014,0.006,0.041,,0.134,0.016,
18255318,BROOKLYN,Brooklyn,11209,11/19/2018,2018,11/20/2018,0.008,0.041,,0.226,0.032,
17344063,FOREST HILLS,Queens,11375,08/31/2017,2017,09/05/2017,0.005,0.041,0.003,0.363,0.03,0.022
19264538,Queens,Queens,11355,11/18/2020,2020,11/23/2020,0.02,0.041,,0.208,0.027,
20268635,Queens,Queens,11356,02/27/2020,2020,02/28/2020,0.002,0.041,,0.271,0.103,
15300357,BROOKLYN,Brooklyn,11230,04/20/2015,2015,04/27/2015,0.018,0.04,0.004,0.189,0.022,0.017
15224398,BROOKLYN,Brooklyn,11235,11/26/2015,2015,12/07/2015,0.002,0.04,,0.25,0.024,
16228773,BROOKLYN,Brooklyn,11221,04/05/2016,2016,04/12/2016,0.007,0.04,,0.324,0.022,
18350680,BROOKLYN,Brooklyn,11222,07/09/2018,2018,07/13/2018,0.009,0.04,0.005,0.326,0.033,0.016
15224186,RIDGEWOOD,Queens,11385,11/04/2015,2015,11/09/2015,0.003,0.04,,0.369,0.039,
14221860,BRONX,Bronx,10461,12/29/2014,2014,01/02/2015,0.007,0.039,,0.227,0.025,
14222091,BROOKLYN,Brooklyn,11203,10/29/2014,2014,10/31/2014,0.01,0.039,,0.177,0.026,
16230255,BROOKLYN,Brooklyn,11215,04/16/2016,2016,04/21/2016,0.057,0.039,,0.987,0.121,
